Circle,City Name A,Tier1,City Name B,Tier2,Location A M6,Location B M6,Link wise Peak Traffic(Gbps),Link wise 95% Traffic(Gbps)
HAR,Hisar,T2,Mohali,T2,HIS/SNG/001,MOH/C25/001,168,153
HAR,Hisar,T2,Mohali,T2,HIS/SNG/001,MOH/C25/001,168,155
MPCG,Jabalpur,T2,Raipur,T2,JBL/VIJ/001,RAI/TBD/001,180,167
MPCG,Jabalpur,T2,Raipur,T2,JBL/VIJ/001,RAI/TBD/001,102,95
MPCG,Jabalpur,T2,SATNA,T2,JBL/VIJ/001,STN/JNR/008,135,125
MPCG,Jabalpur,T2,SATNA,T2,JBL/VIJ/001,STN/JNR/008,57,52
NESA,Jorhat,T2,Shillong,T2,JHT/MBJ/013,SHI/LTM/035,22,21
PB,Jalandhar,T2,Mohali,T2,JLD/FCP/010,MOH/C25/001,120,111
PB,Jalandhar,T2,Ludhiana,T2,JLD/FCP/010,LDN/FPA/013,133,124
PB,Jalandhar,T2,Ludhiana,T2,JLD/FCP/010,LDN/FPA/013,235,214
PB,Jalandhar,T2,Mohali,T2,JLD/FCP/010,MOH/C25/001,110,101
JK,Jammu,T2,Mohali,T2,JMU/PRA/001,MOH/C25/001,129,97
JK,Jammu,T2,Mohali,T2,JMU/PRA/001,MOH/C25/001,61,56
JK,Jammu,T2,SRINAGAR,T2,JMU/PRA/001,SIG/MAR/001,114,104
JK,Jammu,T2,SRINAGAR,T2,JMU/PRA/001,SIG/MAR/001,55,50
JK,Jammu,T2,Jalandhar,T2,JMU/PRA/001,JLD/FCP/010,0,0
RAJ,Jodhpur,T2,Udaipur,T2,JOD/BIA/007,UPR/MIA/015,245,229
RAJ,Jodhpur,T2,Udaipur,T2,JOD/BIA/007,UPR/MIA/015,216,197
RAJ,Jaipur,T2,AGRA,T2,JPR/VIA/049,AGR/DCY/019,1,1
RAJ,Jaipur,T2,Udaipur,T2,JPR/VIA/049,UPR/MIA/015,291,263
RAJ,Jaipur,T2,Udaipur,T2,JPR/VIA/049,UPR/MIA/015,227,208
RAJ,Jaipur,T2,Jodhpur,T2,JPR/VIA/049,JOD/BIA/007,480,455
RAJ,Jaipur,T2,Jodhpur,T2,JPR/VIA/049,JOD/BIA/007,332,299
MH,Kolhapur,T2,Nagpur,T2,KPR/NGC/012,NGP/CSQ/130,52,49
MH,Kolhapur,T2,NANDEDT2,T2,KPR/NGC/012,NND/HTN/002,18,17
MH,Kolhapur,T2,NANDEDT2,T2,KPR/NGC/012,NND/HTN/002,5,5
MH,Kolhapur,T2,Pune Epark,T2,KPR/NGC/012,PUN/EPK/059,251,237
MH,Kolhapur,T2,Pune Epark,T2,KPR/NGC/012,PUN/EPK/059,172,159
MH,Kolhapur,T2,Nagpur,T2,KPR/NGC/012,NGP/CSQ/130,87,82
UPE,Lucknow,T2,Varanasi,T2,LCK/VKH/028,BRS/TVS/026,238,225
UPE,Lucknow,T2,Varanasi,T2,LCK/VKH/028,BRS/TVS/026,180,169
PB,Ludhiana,T2,Mohali,T2,LDN/FPA/013,MOH/C25/001,689,640
PB,Ludhiana,T2,Mohali,T2,LDN/FPA/013,MOH/C25/001,461,426
TN,Madurai,T2,TRICHY,T2,MAD/DSP/001,TCY/BRD/001,1,1
TN,Madurai,T2,Pollachi,T2,MAD/DSP/001,PLC/RIP/004,246,222
TN,Madurai,T2,Pollachi,T2,MAD/DSP/001,PLC/RIP/004,177,165
TN,Madurai,T2,Salem,T2,MAD/DSP/001,SLM/SIV/006,15,14
TN,Madurai,T2,Salem,T2,MAD/DSP/001,SLM/SIV/006,15,14
TN,Madurai,T2,TRICHY,T2,MAD/DSP/001,TCY/BRD/001,26,24
UPW,Meerut,T2,Meerut,T2,MRT/GNG/010,MRT/GNG/010,6,6
UPW,Meerut,T2,Moradabad,T2,MRT/GNG/010,MBD/MHD/042,358,334
UPW,Meerut,T2,Moradabad,T2,MRT/GNG/010,MBD/MHD/042,316,293
MH,Nagpur,T2,NANDEDT2,T2,NGP/CSQ/130,NND/HTN/002,113,106
MH,Nagpur,T2,NANDEDT2,T2,NGP/CSQ/130,NND/HTN/002,137,129
MH,Nagpur,T2,Pune Epark,T2,NGP/CSQ/130,PUN/EPK/059,392,372
MH,Nagpur,T2,Jabalpur,T2,NGP/CSQ/130,JBL/VIJ/001,0,0
MH,Nagpur,T2,Pune Epark,T2,NGP/CSQ/130,PUN/EPK/059,340,321
MH,NANDEDT2,T2,Pune Epark,T2,NND/HTN/002,PUN/EPK/059,386,361
MH,NANDEDT2,T2,Pune Epark,T2,NND/HTN/002,PUN/EPK/059,269,253
AP,Prodattur,T2,Vijaywada,T2,PDR/PDR/004,VJW/NMU/040,165,154
AP,Prodattur,T2,Vijaywada,T2,PDR/PDR/004,VJW/NMU/040,194,184
TN,Pollachi,T2,Salem,T2,PLC/RIP/004,SLM/SIV/006,154,145
TN,Pollachi,T2,Salem,T2,PLC/RIP/004,SLM/SIV/006,72,68
TN,Pollachi,T2,TRICHY,T2,PLC/RIP/004,TCY/BRD/001,78,73
TN,Pollachi,T2,TRICHY,T2,PLC/RIP/004,TCY/BRD/001,213,201
BHJH,Patna,T2,Varanasi,T2,PTN/PIA/081,BRS/TVS/026,13,11
BHJH,Patna,T2,Ranchi,T2,PTN/PIA/081,RCH/NHB/040 ,374,361
BHJH,Patna,T2,Ranchi,T2,PTN/PIA/081,RCH/NHB/040 ,434,404
MH,Pune Epark,T2,Pune_vega(Old),T2,PUN/EPK/059,PUN/SGT/045,0,0
MH,Pune Epark,T2,Pune(Espace),T2,PUN/EPK/059,PUN/ESP/047,158,149
MH,Pune Epark,T2,Pune(Espace),T2,PUN/EPK/059,PUN/ESP/047,111,104
MH,Pune(Espace),T2,Pune_vega(Old),T2,PUN/ESP/047,PUN/SGT/045,0,0
MPCG,Raipur,T2,Sambalpur,T2,RAI/TBD/001,SAM/ATP/005,0,0
MPCG,Raipur,T2,SATNA,T2,RAI/TBD/001,STN/JNR/008,14,14
MPCG,Raipur,T2,SATNA,T2,RAI/TBD/001,STN/JNR/008,21,19
BHJH,Ranchi,T2,Ranchi,T2,RCH/NHB/040 ,RCH/NHB/040 ,97,94
BHJH,Ranchi,T2,Ranchi,T2,RCH/NHB/040 ,RCH/NHB/040 ,84,81
BHJH,Ranchi,T2,Sambalpur,T2,RCH/NHB/040 ,SAM/ATP/005,0,0
GUJ,Rajkot,T2,Surat,T2,RKT/NRT/030,SUR/UNR/901,193,179
GUJ,Rajkot,T2,Surat,T2,RKT/NRT/030,SUR/UNR/901,181,165
JK,SRINAGAR,T2,Mohali,T2,SIG/MAR/001,MOH/C25/001,183,167
JK,SRINAGAR,T2,Mohali,T2,SIG/MAR/001,MOH/C25/001,219,165
HPHP,Shimla,T2,Mohali,T2,SIM/PAN/004,MOH/C25/001,185,171
HPHP,Shimla,T2,Mohali,T2,SIM/PAN/004,MOH/C25/001,298,271
TN,Salem,T2,TRICHY,T2,SLM/SIV/006,TCY/BRD/001,46,44
TN,Salem,T2,TRICHY,T2,SLM/SIV/006,TCY/BRD/001,0,0
MPCG,SATNA,T2,Lucknow,T2,STN/JNR/008,LCK/VKH/028,0,0
GUJ,Surat,T2,Surat(Old),T2,SUR/UNR/901,SUR/SIL/008,8,7
GUJ,Surat,T2,Surat(Old),T2,SUR/UNR/901,SUR/SIL/008,0,0
AP,Vijaywada,T2,Bhuvaneswar,T2,VJW/NMU/040,BWR/CIE/058,0,0
KK,Bangalore Hosur Road,T1,Bangalore WFD,T1,BGL/LSU/901,BGL/WFD/049,563,535
KK,Bangalore Hosur Road,T1,Bangalore WFD,T1,BGL/LSU/901,BGL/WFD/049,658,624
KK,Bangalore Hosur Road,T1,Chennai Serisuri-2,T1,BGL/LSU/901,CHN/SE2/068,40,26
KK,Bangalore Hosur Road,T1,Kharagpur (NEW),T1,BGL/LSU/901,KHP/JKP/023,4,3
KK,Bangalore Hosur Road,T1,Mumbai-Spectrum,T1,BGL/LSU/901,MUM/SPC/901,24,22
KK,Bangalore Hosur Road,T1,Noida,T1,BGL/LSU/901,NOD/S57/042,16,14
KK,Bangalore WFD,T1,Bangalore YMCA,T1,BGL/WFD/049,BGL/YMC/001,71,67
KK,Bangalore WFD,T1,Bangalore YMCA,T1,BGL/WFD/049,BGL/YMC/001,130,123
KK,Bangalore WFD,T1,Bhopal(GP),T1,BGL/WFD/049,BPL/GPR/017,0,0
KK,Bangalore WFD,T1,Bhopal(GP),T1,BGL/WFD/049,BPL/GPR/017,1,1
KK,Bangalore WFD,T1,Chennai Santhome,T1,BGL/WFD/049,CHN/FOR/001,0,0
KK,Bangalore WFD,T1,Chennai Santhome,T1,BGL/WFD/049,CHN/FOR/001,43,41
KK,Bangalore WFD,T1,Kolkata,T1,BGL/WFD/049,KOL/AOE/065,5,5
KK,Bangalore WFD,T1,Kolkata,T1,BGL/WFD/049,KOL/AOE/065,5,4
KK,Bangalore WFD,T1,Manesar,T1,BGL/WFD/049,MAS/OMU/002,9,9
KK,Bangalore WFD,T1,Manesar,T1,BGL/WFD/049,MAS/OMU/002,10,9
KK,Bangalore WFD,T1,Mumbai Chandivali,T1,BGL/WFD/049,MUM/CDV/237,38,35
KK,Bangalore WFD,T1,Mumbai Chandivali,T1,BGL/WFD/049,MUM/CDV/237,38,37
MPCG,Bhopal(GP),T1,Chennai Santhome,T1,BPL/GPR/017,CHN/FOR/001,1,1
MPCG,Bhopal(GP),T1,Chennai Santhome,T1,BPL/GPR/017,CHN/FOR/001,2,1
MPCG,Bhopal(GP),T1,Kolkata,T1,BPL/GPR/017,KOL/AOE/065,15,14
MPCG,Bhopal(GP),T1,Kolkata,T1,BPL/GPR/017,KOL/AOE/065,6,6
MPCG,Bhopal(GP),T1,Manesar,T1,BPL/GPR/017,MAS/OMU/002,23,21
MPCG,Bhopal(GP),T1,Manesar,T1,BPL/GPR/017,MAS/OMU/002,43,42
TN,Chennai Santhome,T1,Chennai Serisuri-2,T1,CHN/FOR/001,CHN/SE2/068,57,44
TN,Chennai Santhome,T1,Chennai Serisuri-2,T1,CHN/FOR/001,CHN/SE2/068,39,35
TN,Chennai Santhome,T1,Chennai Serisuri,T1,CHN/FOR/001,CHN/SSE/036,128,120
TN,Chennai Santhome,T1,Chennai Serisuri,T1,CHN/FOR/001,CHN/SSE/036,86,82
TN,Chennai Santhome,T1,Kolkata,T1,CHN/FOR/001,KOL/AOE/065,14,14
TN,Chennai Santhome,T1,Kolkata,T1,CHN/FOR/001,KOL/AOE/065,4,3
TN,Chennai Serisuri-2,T1,Kharagpur (NEW),T1,CHN/SE2/068,KHP/JKP/023,66,51
TN,Chennai Serisuri-2,T1,Noida,T1,CHN/SE2/068,NOD/S57/042,5,5
TN,Chennai Serisuri,T1,Chennai Serisuri-2,T1,CHN/SSE/036,CHN/SE2/068,327,310
TN,Chennai Serisuri,T1,Chennai Serisuri-2,T1,CHN/SSE/036,CHN/SE2/068,326,299
TN,Chennai Serisuri,T1,Kharagpur (NEW),T1,CHN/SSE/036,KHP/JKP/023,4,4
TN,Chennai Serisuri,T1,Kharagpur (NEW),T1,CHN/SSE/036,KHP/JKP/023,3,3
AP,Hyderabad Hitech,T1,Bangalore Hosur Road,T1,HYD/OHA/090,BGL/LSU/901,33,31
AP,Hyderabad Hitech,T1,Chennai Serisuri,T1,HYD/OHA/090,CHN/SSE/036,13,13
AP,Hyderabad Hitech,T1,HYDERABAD UPPAL,T1,HYD/OHA/090,HYD/UPL/121,124,120
AP,Hyderabad Hitech,T1,HYDERABAD UPPAL,T1,HYD/OHA/090,HYD/UPL/121,53,51
AP,Hyderabad Hitech,T1,Kharagpur (NEW),T1,HYD/OHA/090,KHP/JKP/023,2,2
AP,Hyderabad Hitech,T1,Kharagpur (NEW),T1,HYD/OHA/090,KHP/JKP/023,3,3
AP,Hyderabad Hitech,T1,Mumbai-Spectrum,T1,HYD/OHA/090,MUM/SPC/901,9,8
AP,Hyderabad Hitech,T1,Noida,T1,HYD/OHA/090,NOD/S57/042,3,3
AP,Hyderabad Hitech,T1,Noida,T1,HYD/OHA/090,NOD/S57/042,5,4
AP,HYDERABAD UPPAL,T1,Bangalore WFD,T1,HYD/UPL/121,BGL/WFD/049,56,51
AP,HYDERABAD UPPAL,T1,Bangalore WFD,T1,HYD/UPL/121,BGL/WFD/049,56,51
AP,HYDERABAD UPPAL,T1,Bhopal(GP),T1,HYD/UPL/121,BPL/GPR/017,2,2
AP,HYDERABAD UPPAL,T1,Bhopal(GP),T1,HYD/UPL/121,BPL/GPR/017,1,0
AP,HYDERABAD UPPAL,T1,Chennai Santhome,T1,HYD/UPL/121,CHN/FOR/001,55,52
AP,HYDERABAD UPPAL,T1,Chennai Santhome,T1,HYD/UPL/121,CHN/FOR/001,31,28
AP,HYDERABAD UPPAL,T1,Kolkata,T1,HYD/UPL/121,KOL/AOE/065,20,19
AP,HYDERABAD UPPAL,T1,Kolkata,T1,HYD/UPL/121,KOL/AOE/065,2,2
AP,HYDERABAD UPPAL,T1,Manesar,T1,HYD/UPL/121,MAS/OMU/002,6,5
AP,HYDERABAD UPPAL,T1,Manesar,T1,HYD/UPL/121,MAS/OMU/002,3,3
AP,HYDERABAD UPPAL,T1,Mumbai Chandivali,T1,HYD/UPL/121,MUM/CDV/237,73,70
AP,HYDERABAD UPPAL,T1,Mumbai Chandivali,T1,HYD/UPL/121,MUM/CDV/237,52,48
WB,Kharagpur (NEW),T1,Kolkata,T1,KHP/JKP/023,KOL/AOE/065,98,92
WB,Kharagpur (NEW),T1,Kolkata,T1,KHP/JKP/023,KOL/AOE/065,218,207
WB,Kharagpur (NEW),T1,Kolkata,T1,KHP/JKP/023,KOL/EPB/044,151,144
WB,Kolkata,T1,Kolkata,T1,KOL/AOE/065,KOL/EPB/044,36,34
WB,Kolkata,T1,Kolkata,T1,KOL/AOE/065,KOL/EPB/044,36,34
WB,Kolkata,T1,Kolkata,T1,KOL/AOE/065,KOL/EPB/044,38,36
WB,Kolkata,T1,Kolkata,T1,KOL/AOE/065,KOL/EPB/044,34,32
NCR,Manesar,T1,Bhopal(GP),T1,MAS/OMU/002,BPL/GPR/017,43,41
NCR,Manesar,T1,Chennai Santhome,T1,MAS/OMU/002,CHN/FOR/001,6,6
NCR,Manesar,T1,Chennai Santhome,T1,MAS/OMU/002,CHN/FOR/001,8,8
NCR,Manesar,T1,Kolkata,T1,MAS/OMU/002,KOL/AOE/065,16,15
NCR,Manesar,T1,Kolkata,T1,MAS/OMU/002,KOL/AOE/065,22,21
NCR,Manesar,T1,Kolkata,T1,MAS/OMU/002,KOL/EPB/044,16,15
NCR,Manesar,T1,Kolkata,T1,MAS/OMU/002,KOL/EPB/044,10,9
NCR,Manesar,T1,Noida,T1,MAS/OMU/002,NOD/S57/042,89,82
NCR,Manesar,T1,Noida,T1,MAS/OMU/002,NOD/S57/042,62,58
MH,Mumbai Chandivali,T1,Bhopal(GP),T1,MUM/CDV/237,BPL/GPR/017,60,56
MH,Mumbai Chandivali,T1,Bhopal(GP),T1,MUM/CDV/237,BPL/GPR/017,25,24
MH,Mumbai Chandivali,T1,Chennai Santhome,T1,MUM/CDV/237,CHN/FOR/001,0,0
MH,Mumbai Chandivali,T1,Chennai Santhome,T1,MUM/CDV/237,CHN/FOR/001,25,22
MH,Mumbai Chandivali,T1,Chennai Santhome,T1,MUM/CDV/237,CHN/FOR/001,19,15
MH,Mumbai Chandivali,T1,Kolkata,T1,MUM/CDV/237,KOL/AOE/065,56,54
MH,Mumbai Chandivali,T1,Kolkata,T1,MUM/CDV/237,KOL/AOE/065,58,53
MH,Mumbai Chandivali,T1,Manesar,T1,MUM/CDV/237,MAS/OMU/002,51,47
MH,Mumbai Chandivali,T1,Manesar,T1,MUM/CDV/237,MAS/OMU/002,35,24
MH,Mumbai Chandivali,T1,Mumbai-Spectrum,T1,MUM/CDV/237,MUM/SPC/901,30,28
MH,Mumbai Chandivali,T1,Mumbai-Spectrum,T1,MUM/CDV/237,MUM/SPC/901,29,28
MH,Mumbai-Spectrum,T1,Chennai Serisuri-2,T1,MUM/SPC/901,CHN/SE2/068,7,7
MH,Mumbai-Spectrum,T1,Kharagpur (NEW),T1,MUM/SPC/901,KHP/JKP/023,38,37
MH,Mumbai-Spectrum,T1,Noida,T1,MUM/SPC/901,NOD/S57/042,27,25
NCR,Delhi,T1,Manesar,T1,NDL/OKH/004,MAS/OMU/002,65,61
NCR,Noida,T1,Kharagpur (NEW),T1,NOD/S57/042,KHP/JKP/023,34,29
NCR,Noida,T1,Kharagpur (NEW),T1,NOD/S57/042,KHP/JKP/023,80,77
